Area,Age,M/F,Cause of death or injury,Measure,"Value per 100,000",Lower bound,Upper bound
Andhra Pradesh,<5 years,Male,Neglected tropical diseases and malaria,Affected,69.97885392,18.15442807,213.7657254
Arunachal Pradesh,<5 years,Male,Neglected tropical diseases and malaria,Affected,0.882560442,0.313682448,1.786209265
Assam,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,15,,
Assam,<5 years,Male,Neglected tropical diseases and malaria,Affected,21.28041946,9.695006934,40.36597695
Bihar,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,10,,
Bihar,<5 years,Male,Neglected tropical diseases and malaria,Affected,259.0146873,51.3387174,914.5194707
Chhattisgarh,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,5,,
Chhattisgarh,<5 years,Male,Neglected tropical diseases and malaria,Affected,574.8533753,17.06635509,2010.848315
Delhi,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,10,,
Delhi,<5 years,Male,Neglected tropical diseases and malaria,Affected,12.31064844,4.497197882,25.23850477
Goa,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,4,,
Goa,<5 years,Male,Neglected tropical diseases and malaria,Affected,3.136388595,0.043544588,9.223677729
Gujarat,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,8,,
Gujarat,<5 years,Male,Neglected tropical diseases and malaria,Affected,143.1839096,19.28356237,490.0733771
Haryana,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,14,,
Haryana,<5 years,Male,Neglected tropical diseases and malaria,Affected,17.866969,7.926908959,34.5108282
Himachal Pradesh,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,16,,
Himachal Pradesh,<5 years,Male,Neglected tropical diseases and malaria,Affected,1.393412589,0.591723661,2.80698215
Jammu & Kashmir and Ladakh,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,17,,
Jammu & Kashmir and Ladakh,<5 years,Male,Neglected tropical diseases and malaria,Affected,2.130608147,0.650517283,4.790381645
Jharkhand,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,5,,
Jharkhand,<5 years,Male,Neglected tropical diseases and malaria,Affected,440.0496978,18.50488485,1466.95693
Karnataka,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,14,,
Karnataka,<5 years,Male,Neglected tropical diseases and malaria,Affected,61.20969407,28.91014351,108.1047336
Kerala,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,12,,
Kerala,<5 years,Male,Neglected tropical diseases and malaria,Affected,6.43074407,3.028568124,12.19592994
Madhya Pradesh,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,10,,
Madhya Pradesh,<5 years,Male,Neglected tropical diseases and malaria,Affected,282.5382331,51.59297326,757.4244344
Maharashtra,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,8,,
Maharashtra,<5 years,Male,Neglected tropical diseases and malaria,Affected,175.2616925,21.48356076,549.0099174
Manipur,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,14,,
Manipur,<5 years,Male,Neglected tropical diseases and malaria,Affected,1.927166153,0.883235445,3.908894132
Meghalaya,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,7,,
Meghalaya,<5 years,Male,Neglected tropical diseases and malaria,Affected,22.08804851,1.379155767,77.25920902
Mizoram,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,4,,
Mizoram,<5 years,Male,Neglected tropical diseases and malaria,Affected,21.65400598,0.137364146,63.7731191
Nagaland,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,16,,
Nagaland,<5 years,Male,Neglected tropical diseases and malaria,Affected,0.922575781,0.128139907,2.955056446
Odisha,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,7,,
Odisha,<5 years,Male,Neglected tropical diseases and malaria,Affected,330.6732758,14.98814267,1086.990047
Other Union Territories,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,11,,
Other Union Territories,<5 years,Male,Neglected tropical diseases and malaria,Affected,2.470346528,0.80432925,5.96968324
Punjab,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,14,,
Punjab,<5 years,Male,Neglected tropical diseases and malaria,Affected,6.461424986,2.220064401,13.03777777
Rajasthan,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,16,,
Rajasthan,<5 years,Male,Neglected tropical diseases and malaria,Affected,38.81722934,18.83408722,72.91931088
Sikkim,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,17,,
Sikkim,<5 years,Male,Neglected tropical diseases and malaria,Affected,0.149294153,0.065905236,0.276824675
Tamil Nadu,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,13,,
Tamil Nadu,<5 years,Male,Neglected tropical diseases and malaria,Affected,19.5694042,8.850421004,37.63074974
Telangana,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,8,,
Telangana,<5 years,Male,Neglected tropical diseases and malaria,Affected,64.96425552,17.58182527,191.3989709
Tripura,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,6,,
Tripura,<5 years,Male,Neglected tropical diseases and malaria,Affected,23.98308291,0.369015333,66.13313375
Uttar Pradesh,<5 years,Male,Neglected tropical diseases and malaria,Affected rank,12,,
